graph_id,label,feat
125,0,559.5;3;11.94;7.68;2.96;0.4;12.61;5.87;3.2
126,0,589.3;3;11.69;6.49;2.77;3.3;12.96;6.76;3.84
127,0,592.35;3;11.73;7.49;2.89;1.4;9.92;6.04;2.95
128,0,643.31;3;11.69;6.94;3.29;2.2;12.96;6.45;4.6
129,0,583.63;2.41;10.97;7.32;2.89;1;9.65;5.62;3.02
130,0,598.49;3;11.97;6.79;3.23;0.3;12.96;6.23;4.27
131,0,607.5;3;12;7.74;3.08;2;14.95;6.19;4.09
132,0,716.98;2.13;11.69;7.57;3.13;3.1;15.56;6.59;5.31
133,0,734.64;2.73;11.07;7.13;2.92;1.3;11.97;5.88;4.8
134,0,652.19;2.8;11.82;6.85;3.27;2.4;12.96;6.43;4.73
135,0,696.94;3;11.69;7.52;3.03;3.2;16.15;6.79;5.47
136,0,616.04;2.69;11.69;6.94;3.38;1;12.96;6.29;4.41
137,0,642.91;3;11.69;7.66;2.86;0.8;13.76;6.54;4.46
138,0,606.38;3;11.74;7.32;2.75;0.3;12.96;6.4;4
139,0,624.51;2.36;11.69;6.59;2.76;1.4;12.96;6.33;4.27
140,0,665.41;3;12;6.99;2.62;0.8;12.96;5.36;4.18
141,0,725.85;2;11.01;6.1;2.26;2.9;17.12;6.83;6.16
142,0,559.5;2.05;11.39;7.62;3.2;1.11;11.74;5.59;3
143,0,710.58;2.85;11.69;6.96;3.04;3.5;13.47;6.6;5.3
144,0,638.42;3;11.69;6.87;3.08;2.2;12.96;6.4;4.5
145,0,661.22;3;11.84;7.42;3.08;1.7;13.29;6.49;4.44
146,0,659.77;3;11.69;7.32;2.64;1.1;13.14;6.54;4.64
147,0,573.5;2.2;10.56;7.44;3.03;0.6;12.47;6.03;3.51
148,0,566.09;3;11.99;7.35;2.98;0.3;11.04;5.25;3.09
149,0,747.29;2.1;11.18;6.86;2.84;0.6;11.56;5.7;4.7
150,0,559.5;3;11.69;7.54;2.97;1.55;9.7;5.76;2.41
151,0,559.5;3;11.69;7.43;2.9;0.9;9.78;5.95;2.54
152,0,618.15;3;11.69;7.12;2.76;0.8;12.96;6.4;4.11
153,0,669.73;3;11.69;6.98;2.8;1.5;12.96;6.55;4.82
154,0,622.85;2.28;11.69;6.84;3.02;0.9;12.96;6.41;4.29
155,0,700.49;3;11.69;6.86;3.31;4.2;12.96;6.59;5.35
156,0,559.5;3;11.9;8.1;3.1;0.5;12.49;6.58;3.12
157,0,606.13;2.27;11.69;7.04;2.96;1;12.96;6.37;4
158,0,559.5;3;11.69;7.28;2.52;2;10.98;6.62;2.47
159,0,559.5;3;11.69;7.5;2.82;0.9;9.89;5.96;2.56
160,0,582.16;2.21;11.69;6.99;3.01;0.7;12.96;6.13;3.76
161,0,574.22;3;11.69;7.24;2.68;1;12.96;6.06;3.42
162,0,614.17;2.99;11.98;7.1;2.9;0.6;12.96;6.42;4.11
163,0,657.75;3;11.69;6.82;3.09;0.2;14.9;6.48;5.11
164,0,671.48;2.91;11.97;6.94;3.46;0.8;12.96;5.91;4.65
