graph_id,node_id,label,feat,X,Y,Z
8,10,1,3,40.76,36.4,0
9,0,0,1,27,23,0
9,1,0,1,31,21,0
9,2,0,1,30,45,0
9,3,0,2,40,45,0
9,4,0,1,50,45,0
9,5,0,1,55,42,0
9,6,1,3,30,41.98,0
9,7,1,4,32.01,32.1,0
9,8,1,3,50,42,0
9,9,1,3,32.45,23.63,0
9,10,1,4,36.07,32.49,0
9,11,1,3,45.58,39.32,0
9,12,1,3,38.1,34.53,0
10,0,0,1,27,23,0
10,1,0,1,31,21,0
10,2,0,1,30,45,0
10,3,0,2,40,45,0
10,4,0,1,50,45,0
10,5,0,1,55,42,0
10,6,1,3,50,42,0
10,7,1,3,30,41.01,0
10,8,1,3,41.31,36.73,0
10,9,1,4,35.58,29.33,0
10,10,1,3,28.78,26.24,0
10,11,1,3,28.82,32.56,0
11,0,0,3,27,23,0
11,1,0,1,31,21,0
11,2,0,1,30,45,0
11,3,0,1,40,45,0
11,4,0,1,50,45,0
11,5,0,1,55,42,0
11,6,1,3,50,42,0
11,7,1,3,30,33.78,0
11,8,1,3,40,35.94,0
11,9,1,3,33.82,26.13,0
11,10,1,3,31.33,27.28,0
11,11,1,3,34.08,28.77,0
12,0,0,2,27,23,0
12,1,0,1,31,21,0
12,2,0,1,30,45,0
12,3,0,1,40,45,0
12,4,0,1,50,45,0
12,5,0,1,55,42,0
12,6,1,3,30,33.63,0
12,7,1,3,50,42,0
12,8,1,4,32.9,30.21,0
12,9,1,3,33.84,26.17,0
12,10,1,3,40,35.94,0
12,11,1,3,37.1,32.42,0
13,0,0,2,27,23,0
13,1,0,1,31,21,0
13,2,0,1,30,45,0
13,3,0,1,40,45,0
13,4,0,1,50,45,0
13,5,0,1,55,42,0
13,6,1,3,30,33.16,0
13,7,1,3,50,42,0
13,8,1,4,29.64,28.24,0
13,9,1,3,40,35.94,0
13,10,1,4,36.78,31.51,0
13,11,1,3,33.59,30.36,0
13,12,1,3,38.2,33.76,0
14,0,0,3,27,23,0
14,1,0,1,31,21,0
14,2,0,1,30,45,0
14,3,0,1,40,45,0
14,4,0,1,50,45,0
14,5,0,1,55,42,0
14,6,1,3,30,33.28,0
14,7,1,3,31.96,22.75,0
14,8,1,3,30.33,27.81,0
14,9,1,3,50,42,0
14,10,1,3,35.45,30.43,0
14,11,1,3,40,35.94,0
15,0,0,1,27,23,0
15,1,0,1,31,21,0
15,2,0,1,30,45,0
15,3,0,2,40,45,0
15,4,0,1,50,45,0
15,5,0,1,55,42,0
15,6,1,4,30,41.61,0
15,7,1,4,50,42,0
15,8,1,3,31.89,31.88,0
15,9,1,3,32.8,35.41,0
15,10,1,4,35.96,36.96,0
15,11,1,3,34.03,26.51,0
15,12,1,4,39.09,35.39,0
15,13,1,3,46.71,41.73,0
15,14,1,3,48.16,39.89,0
16,0,0,2,27,23,0
16,1,0,2,31,21,0
16,2,0,1,30,45,0
16,3,0,1,40,45,0
16,4,0,1,50,45,0
16,5,0,1,55,42,0
16,6,1,3,30,33.47,0
16,7,1,3,29.3,28.03,0
16,8,1,3,50,42,0
16,9,1,3,40,35.94,0
16,10,1,4,37.65,33.09,0
16,11,1,3,36.1,30.86,0
16,12,1,3,35.37,28.69,0
17,0,0,2,27,23,0
17,1,0,1,31,21,0
17,2,0,1,30,45,0
17,3,0,1,40,45,0
17,4,0,1,50,45,0
17,5,0,1,55,42,0
17,6,1,3,30,33.66,0
17,7,1,3,50,42,0
17,8,1,4,29.31,28.04,0
17,9,1,3,34.37,27.13,0
17,10,1,3,35.88,30.95,0
17,11,1,3,40,35.94,0
18,0,0,1,27,23,0
18,1,0,1,31,21,0
18,2,0,1,30,45,0
18,3,0,2,40,45,0
18,4,0,1,50,45,0
18,5,0,1,55,42,0
18,6,1,3,30,38.51,0
18,7,1,3,29.07,26.76,0
18,8,1,3,36.68,31.34,0
18,9,1,3,50,42,0
18,10,1,3,40.76,36.4,0
19,0,0,2,27,23,0
19,1,0,1,31,21,0
19,2,0,1,30,45,0
19,3,0,1,40,45,0
19,4,0,1,50,45,0
19,5,0,1,55,42,0
19,6,1,3,30,34.17,0
19,7,1,3,50,42,0
19,8,1,3,33.88,30.81,0
19,9,1,4,40,35.94,0
19,10,1,3,34.7,27.73,0
19,11,1,3,37.93,33.26,0
