graph_id,src_id,dst_id,label,train_mask,val_mask,test_mask,feat
10,1,9,6,0,0,0,8.56
10,8,9,7,0,0,0,12.27
10,0,10,8,0,0,0,8.56
10,9,10,9,0,0,0,4.5
10,9,11,10,0,0,0,-0.79
10,10,11,11,0,0,0,5.64
10,7,11,12,0,0,0,5.35
11,4,6,0,0,0,0,5
11,5,6,1,0,0,0,8.25
11,2,7,2,0,0,0,5
11,0,7,3,0,0,0,2.2
11,6,8,4,0,0,0,9.65
11,3,8,5,0,0,0,5
11,1,9,6,0,0,0,8.56
11,0,9,7,0,0,0,-3.9
11,0,10,8,0,0,0,9.96
11,7,10,9,0,0,0,2.94
11,10,11,10,0,0,0,8.71
11,8,11,11,0,0,0,12.96
11,9,11,12,0,0,0,5.9
12,2,6,0,0,0,0,5
12,0,6,1,0,0,0,3.9
12,5,7,2,0,0,0,8.25
12,4,7,3,0,0,0,5
12,6,8,4,0,0,0,1.64
12,0,8,5,0,0,0,4.84
12,1,9,6,0,0,0,8.56
12,8,9,7,0,0,0,-0.3
12,3,10,8,0,0,0,5
12,7,10,9,0,0,0,9.65
12,10,11,10,0,0,0,12.96
12,8,11,11,0,0,0,4.74
12,9,11,12,0,0,0,8.79
13,2,6,0,0,0,0,5
13,0,6,1,0,0,0,-1.7
13,4,7,2,0,0,0,5
13,5,7,3,0,0,0,8.25
13,6,8,4,0,0,0,6.65
13,0,8,5,0,0,0,10.23
13,3,9,6,0,0,0,5
13,7,9,7,0,0,0,9.65
13,1,10,8,0,0,0,8.56
13,8,10,9,0,0,0,-4.1
13,8,11,10,0,0,0,8.91
13,10,11,11,0,0,0,4.5
13,11,12,12,0,0,0,4.5
13,10,12,13,0,0,0,8.67
13,9,12,14,0,0,0,12.96
14,2,6,0,0,0,0,5
14,0,6,1,0,0,0,0.9
14,1,7,2,0,0,0,8.56
14,0,7,3,0,0,0,-0.7
14,6,8,4,0,0,0,4.14
14,0,8,5,0,0,0,8.03
14,5,9,6,0,0,0,8.25
14,4,9,7,0,0,0,5
14,7,10,8,0,0,0,8.28
14,8,10,9,0,0,0,5.42
14,9,11,10,0,0,0,9.65
14,3,11,11,0,0,0,5
14,10,11,12,0,0,0,12.96
15,2,6,0,0,0,0,5
15,3,6,1,0,0,0,-3.2
15,4,7,2,0,0,0,5
15,5,7,3,0,0,0,8.25
15,0,8,4,0,0,0,8.56
15,6,8,5,0,0,0,-4.9
15,6,9,6,0,0,0,9.64
15,8,9,7,0,0,0,12.72
15,3,10,8,0,0,0,6.75
15,9,10,9,0,0,0,7.98
15,1,11,10,0,0,0,8.56
15,10,11,11,0,0,0,0.4
15,10,12,12,0,0,0,4.7
15,11,12,13,0,0,0,8.18
15,12,13,14,0,0,0,3.5
15,7,13,15,0,0,0,4.2
15,13,14,16,0,0,0,-2.41
15,12,14,17,0,0,0,6.21
15,7,14,18,0,0,0,6.18
16,2,6,0,0,0,0,5
16,0,6,1,0,0,0,-4.2
16,6,7,2,0,0,0,9.11
16,0,7,3,0,0,0,12.69
16,5,8,4,0,0,0,8.25
16,4,8,5,0,0,0,5
16,8,9,6,0,0,0,9.65
16,3,9,7,0,0,0,5
16,7,10,8,0,0,0,4.82
16,9,10,9,0,0,0,12.96
16,10,11,10,0,0,0,1.7
16,1,11,11,0,0,0,3.1
16,10,12,12,0,0,0,6.87
16,11,12,13,0,0,0,-1.43
16,1,12,14,0,0,0,5.46
17,2,6,0,0,0,0,5
17,0,6,1,0,0,0,-4
17,4,7,2,0,0,0,5
17,5,7,3,0,0,0,8.25
17,6,8,4,0,0,0,8.92
17,0,8,5,0,0,0,12.49
17,1,9,6,0,0,0,8.56
17,8,9,7,0,0,0,-1.1
17,9,10,8,0,0,0,8.27
17,8,10,9,0,0,0,5.7
17,10,11,10,0,0,0,12.96
17,3,11,11,0,0,0,5
17,7,11,12,0,0,0,9.65
18,2,6,0,0,0,0,5
18,3,6,1,0,0,0,0.5
18,6,7,2,0,0,0,5.29
18,0,7,3,0,0,0,8.56
18,7,8,4,0,0,0,4.32
18,1,8,5,0,0,0,8.56
18,4,9,6,0,0,0,5
18,5,9,7,0,0,0,8.25
18,8,10,8,0,0,0,12.49
18,9,10,9,0,0,0,9.65
18,3,10,10,0,0,0,4.75
19,2,6,0,0,0,0,5
19,0,6,1,0,0,0,4.2
19,4,7,2,0,0,0,5
19,5,7,3,0,0,0,8.25
19,6,8,4,0,0,0,1.44
19,0,8,5,0,0,0,4.59
19,7,9,6,0,0,0,9.65
19,3,9,7,0,0,0,5
19,1,10,8,0,0,0,8.56
19,9,10,9,0,0,0,-4.9
19,9,11,10,0,0,0,17.84
19,8,11,11,0,0,0,4.82
19,10,11,12,0,0,0,13.45
20,2,6,0,0,0,0,5
